Word,xʃxƨſ ,Type,Meaning,Noun,Verb,Modifier,Origin,IPA,Family,Tokima Word,Relabel v1 Word,Rev_Type,pre-h/c,T,R,Antonym,Antonym wrong?
akala,oxʋ,Verb,to grab/hold (a hold/load/burden),a hold/load/burden,to grab/hold,holdable,Spanish agarrar,[a.ɣ̞aˈraɾ],Romance,-,-,Verb,-,X,X,,.
akasa,oxɤ,Noun,sky,sky,to be the sky,sky-related,Kannada ಆಕಾಶ ākāśa,,Dravidian,aka,aka,Noun,-,X,X,,.
alijun,oʋıɂ̄ſ,Noun,allium plant,allium plant,to be an allium plant,allium-related,Latin allium,/ˈal.li.um/,Romance,-,-,Noun,-,X,X,,.
alu,oʋſ,Verb,to take (a taken entity),a taken thing,to take/retrieve,takeable/retrievable,Kyrgyz алуу aluu,,Turkic,lanpan,lanpan,Verb,-,X,X,tene,.
amo,oɞʃ,Verb,to love (a loved entity),a loved thing,to love,lovable,Spanish amor,[aˈmoɾ],Romance,wolin,amo,Verb,-,X,.,tajen,.
anan,oƨ̄,Verb,to smell (a scent),a smell/scent,to smell,smell-like/scent-like/smellable,Burmese အနံ့ a.nam.,/ʔəna̰ɴ/,Sino-Tibetan,nena,nanpu,Verb,-,X,X,,.
ani,oƨı,Quantity,all,all,to be all,all-/total/most/-est,Telugu అన్నీ annī, /an̪n̪iː/,Dravidian,ali,ani,Quantity,-,X,.,,.
ankolo,ōxʃʋʃ,Noun,corner,corner/angle,to be a corner/angle,corner/angle-related,Italian angolo,/ˈan.ɡo.lo/,Romance,kona,kona,Noun,-,X,X,,.
anpipi,ōʜıʜı,Noun,amphibian,amphibian,to be an amphibian,amphibian-related,Catalan amfibi,/amˈfi.bi/,Romance,aketi,wenja,Noun,-,X,X,,.
antomi,ōʌʃɞı,Modifier,asleep,sleepiness,to be asleep,asleep,French endormi,,Romance,lape,tunku,Modifier>,-,X,X,ujanu,.
anwije,ōɕıɂȷ,Modifier,bored,boredom,to be bored,bored,French ennuyé,/ɑ̃.nɥi.je/ (/ɒ̃.nɥi.je/),Romance,enujo,enujo,ModifierG,-,X,X,,.
apaki,oʜxı,Noun,glass,glass/crystal,to be glass/crystal,glass/crystal-related,Armenian ապակի apaki,[ɑpɑˈki],Armenian,tiwata,tiwata,Noun,-,X,X,,.
asa,oɤ,Modifier,rough/sharp,roughness/sharpness,to be rough/sharp,rough/sharp,Latvian ass,[as],Balto-Slavic,-,-,Modifier>,-,X,X,lisi,.
asete,oɤȷʌȷ,Noun,oil,oil,to be oil,oil-related,Spanish aceite,[aˈθei̯.t̪e],Romance,oliwa,oliwa,Noun,-,X,X,,.
cakuwa,ɛxſɕ,Verb,to choose (a choice),a choice/decision,to choose,choice-like/choosable,Swahili -chagua,,Niger-Congo,saku,saku,Verb,takuwa,X,X,,.
canu,ɛƨſ,Modifier,cold,coldness,to be cold,cold,Tibetan གྲང་མོ grang mo,/ʈ͡ʂʰəŋ˩˧.ŋu˥˥/,Sino-Tibetan,lete,tamu,Modifier0,tanu,X,X,tuko,.
canwa,ɛ̄ɕ,Noun,animal,animal,to be an animal,animal-related,Hindi जानवर jānvar,[d͡ʒä̃ːn̪.wəɾ],Indo-Iranian,janwa,janwa,Noun,tanwa,X,X,,.
cawapu,ɛɕʜſ,Verb,to answer (a response),an answer/response,to answer/respond with,answer-like/response-like/answerable,Swahili jawabu,,Niger-Congo,sawapu,sawapu,Verb,tawapu,X,X,solu,.
ceke,ɛȷxȷ,Noun,limb,limb/branch,to be a limb/branch,limb/branch-related,Irish géag,/ɟeːɡ/,Celtic,-,-,Noun,keke,X,X,,.
